accepted_species,estimate
t1,0.050642412
t16,0.10458992
t116,0.073491424
t147,0.073491424
t275,0.073491424
t60,0.073491424
t98,0.018635392
t212,0.70869285
t251,0.70869285
t108,0.036117524
t329,-0.13898893
t207,0.49365613
t254,2.8702931
t240,0.62159836
t263,-1.3184152
t84,0.018635392
t32,0.10458992
t52,0.018635392
t326,-0.76822835
t285,-0.22494341
t161,-0.22494341
t307,0.112775534
t163,0.112775534
t248,-0.9032237
t156,0.112775534
t152,0.057919517
t284,-0.2678662
t80,0.11967475
t96,0.10458992
t286,-0.32335132
t124,0.48684752
t67,0.050642412
t54,0.050642412
