accepted_species,estimate
t164,-0.09726709099740051
t114,-0.10744664737215544
t111,-0.10448313496634817
t157,-0.10876619569092673
t98,-0.10805691681062483
t137,-0.11013831121662447
t151,-0.11030195331105068
t4,0.01719292756550855
t14,0.05889834339315429
t62,-0.14301900546626165
t83,-0.140996941250951
t57,-0.11263448922004897
t23,-0.044071239819430105
t44,0.29061957543843436
t73,0.33569034584681756
t8,0.056304883570220246
t102,-0.526858255815089
t154,0.15013920390474916
t139,0.03600512443516618
t22,0.04241417161594485
