accepted_species,estimate
t198,0.004579455053948574
t319,-0.2926039337784513
t186,0.3055939855537854
t147,-0.16731388855212037
t232,-0.22990319895531441
t156,-0.14036328685693344
t178,-0.13369801959526345
t137,-0.032245092591588254
t204,-0.20291219180187614
t205,-0.5508649107404727
t335,-0.2541292176613285
t338,-0.28013040501079894
t292,-0.5742165147734741
t287,-0.5083047088293068
t384,-0.21393406843140367
t424,-0.08267117500186635
t425,-0.45963396060032796
t394,-1.1448232340183158
t404,-0.25747484101523577
t368,-0.710168211286092
t373,-0.4621787110377884
t327,-0.46394309082066976
t386,-1.5986993338717013
t375,-1.236933210610037
t200,-0.24910920364164146
t221,-0.26727449676925175
t222,-0.42030064417157054
t239,-0.17760650306415826
t421,-0.30244678421167204
t251,-0.27202423379133633
t252,-0.14800040091692135
t242,-0.4260395557310822
t234,-0.08286836240767481
t167,0.1270513078965736
t226,0.2942576779448032
t294,0.3199612911324733
t480,-0.2825767796075448
t405,-0.3926438588090242
t365,0.4280312067120612
t445,0.039333536394719676
t270,-0.21649676985470062
t272,0.29067643451924924
t211,0.39921165828036
t431,-0.1760533956728652
t223,-0.3029476730669556
t413,1.6091978707891264
t453,1.8429432645175905
t456,-0.6969057207543629
t460,-1.0233072671616394
