accepted_species,estimate
t50,0.020185355
t80,-0.0058758943
t233,-0.054660935
t234,-0.054660935
t358,-0.047847953
t436,-0.028744614
t425,-0.043977585
t220,-0.054660935
t268,-0.0427996
t380,-0.059098426
t301,-0.0427996
t306,-0.035392664
t465,-0.035392664
t323,-0.035392664
t292,-0.035743874
t295,-0.063132495
t431,-0.057270177
t432,-0.057270177
t379,-0.057270177
t299,-0.057270177
t219,-0.036226656
t285,-0.027464468
t335,-0.027464468
t327,-0.027464468
t365,-0.027464468
t366,-0.027464468
t300,-0.050111935
t470,-0.031310223
t471,-0.031310223
t402,-0.037065305
t350,-0.022471488
t363,-0.030643681
t354,-0.030643681
t258,-0.052277762
t423,-0.074288055
t424,-0.074288055
t399,-0.074288055
t252,-0.037005875
t98,-0.0058758943
t84,0.03914674
t78,0.026856178
t152,0.03231054
t76,0.026856178
t168,-0.0455073
t105,-0.032360762
t47,0.02224337
t43,0.02224337
