accepted_species,estimate
t29,-0.6055650111923571
t17,-0.0945803732413529
t21,-0.8229072430762473
t66,-0.3631856396419182
t36,-0.11917289954802843
t128,0.41234528719827956
t129,0.8919788391056637
t84,0.27354646683897044
t190,0.2092228834097695
t65,0.08103089944447042
t367,0.031157802577206038
t354,-0.28541090203594244
t226,-0.27605648917714953
t312,-0.0664040067939172
t382,0.1595568505581572
t409,0.3567132989355569
t361,0.46481360733652777
t438,0.5074799523147947
t285,0.5976091261385902
t142,1.3726060625448715
t143,0.09596343159468149
t218,0.17963043632553424
t274,0.6115461548502613
t299,0.5526185521487675
t323,0.05533385028824713
t292,0.07221400884779686
t380,-0.08101169329524502
t466,-0.2702763078028493
t446,-0.20851594011853555
t491,0.09034458385257108
t393,-0.038347485213057954
t296,-0.32869957301373
t280,-0.4013946343972572
t153,0.19889960240448792
t180,-0.2819344369354705
t236,0.23175327277890126
t412,-0.009420697123214784
t339,0.1755584554671942
t492,-0.11406152214750884
t356,0.01842899515119969
t428,-0.027732429163906593
t454,-0.2883720443162793
t453,-0.2898102723359952
t184,-0.5100017753018051
t238,-0.5078242983474291
t187,-0.8290611347176441
t49,-0.24381710481498184
t85,0.49366052072557476
t88,0.26557357330190057
t27,-0.8448686004551859
