accepted_species,estimate
t210,0.25513038
t119,-1.0460232
t172,0.21304394
t188,0.31003082
t308,-0.7301285
t155,0.15910773
t283,-0.60973537
t240,0.54169226
t182,-0.10483353
t177,0.68667036
t241,-0.0045918766
t242,-0.33349195
t93,0.9212467
t137,0.15103106
t166,0.36189324
t270,-0.42696145
t264,0.119099885
t319,0.3867722
t183,0.124846384
t316,1.2494706
t321,1.2622417
t309,0.75064474
t318,0.39372373
t303,-0.28864112
t56,0.34165883
t80,1.1110089
t74,1.2635102
t60,0.789534
t51,0.69999856
t211,-0.39413428
t42,0.86521405
t29,-0.6711496
