accepted_species,estimate
t206,0.8881086
t240,1.0003093
t354,1.011502
t346,1.011502
t238,1.0003093
t267,1.0003093
t275,1.0003093
t276,1.0003093
t386,1.0003093
t387,1.0003093
t390,1.0003093
t391,1.0003093
t373,1.0003093
t357,1.0003093
t295,1.0003093
t367,1.0003093
t368,1.0003093
t286,1.0003093
t287,1.0003093
t349,1.0003093
t350,1.0003093
t364,1.0003093
t407,1.0003093
t408,1.0003093
t409,1.0003093
t399,1.0003093
t400,1.0003093
t356,1.0003093
t412,1.0003093
t413,1.0003093
t397,1.0003093
t398,1.0003093
t358,1.0003093
t359,1.0003093
t251,1.0003093
t255,1.0003093
t403,1.0003093
t404,1.0003093
t296,1.0003093
t179,0.2011106
t165,0.42148829
