"accepted_species","estimate"
"t84",0.559885988896133
"t233",0.261724774212358
"t234",0.261724774212358
"t210",0.261724774212358
"t221",0.376375334143008
"t222",0.376375334143008
"t227",-0.897391989256954
"t216",-0.834853836814
"t205",-0.799713879567908
"t159",-0.523133282490407
"t160",-0.523133282490407
"t235",-0.472319978394766
"t236",-0.472319978394766
"t150",-0.412089610202795
"t72",0.757522105316147
"t60",1.00770482566674
"t54",1.27541799426777
"t109",1.27541799426777
"t128",1.27541799426777
"t129",1.27541799426777
"t57",1.27541799426777
"t68",1.27541799426777
"t99",1.27541799426777
"t100",1.27541799426777
